"","NAME","PROGRAM.IDENTIFIER","INSPECTION.DATE","DESCRIPTION","ADDRESS","CITY","ZIP.CODE","PHONE","LONGITUDE","LATITUDE","INSPECTION.BUSINESS.NAME","INSPECTION.TYPE","INSPECTION.SCORE","INSPECTION.RESULT","INSPECTION.CLOSED.BUSINESS","VIOLATION.TYPE","VIOLATION.DESCRIPTION","VIOLATION.POINTS","BUSINESS_ID","INSPECTION_SERIAL_NUM","VIOLATION_RECORD_ID","GRADE"
"65191","FAT HEN","FAT HEN","09/20/2022","Seating 13-50 - Risk Category III","1418 NW 70TH ST ","SEATTLE","98117","",-122.3744360875,47.679689914,"FAT HEN","Routine Inspection/Field Review",10,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0013624","DAHUSOXRP","IVAODSFQ7",1
"65206","FAT SHACK","FAT SHACK","10/13/2022","Seating 13-50 - Risk Category III","322 2ND AVE S","SEATTLE","98104","(360) 739-8181",-122.331335459,47.5994601059,"FAT SHACK","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0081452","DATOJSJ5A","",1
"65208","FAT'S CHICKEN & WAFFLES","FAT'S CHICKEN & WAFFLES","05/04/2022","Seating 13-50 - Risk Category III","2726 E CHERRY ST ","Seattle","98122","(206) 650-0886",-122.2964677148,47.6081442392,"FAT'S CHICKEN & WAFFLES","Consultation/Education - Field",0,"Complete","false","","",0,"PR0008928","DAL0PVZOK","",1
"65233","FAVE KITCHENS INC","FAVE KITCHENS INC","09/23/2022","Seating 0-12 - Risk Category III","1534 1ST AVE S STE 400","SEATTLE","98134","(206) 717-5151",-122.33391808,47.58902078,"FAVE KITCHENS INC","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0089264","DADTSRZFQ","",2
"65236","FAY'S DELI","FAY'S DELI","","Seating 13-50 - Risk Category I","307 WESTLAKE AVE N STE B","SEATTLE","98109","(206) 468-4585",-122.33885006,47.62121398,"","",NA,"","","","",0,"PR0087032","","",1
"65570","FEED CO. BURGERS","FEED CO. BURGERS","09/25/2022","Seating 51-150 - Risk Category III","2407 E UNION ST","SEATTLE","98122","(206) 726-6000",-122.3010118,47.61273656,"FEED CO. BURGERS","Consultation/Education - Field",20,"Complete","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0086252","DAHQ8KXY5","IVY8QTPZU",1
"65579","FEEDME HRG @ OSP","FEEDME HRG @ OSP","","Seating 13-50 - Risk Category I","2901 WESTERN AVE ","SEATTLE","98121","(206) 588-5148",-122.353851569,47.6163448645,"","",NA,"","","","",0,"PR0076126","","",2
"65580","FEEDME HRG @ SAAM","CAFE","","Seating 51-150 - Risk Category III","1300 1st AVE","SEATTLE","98101","(206) 588-5148",-122.3382572861,47.6071937377,"","",NA,"","","","",0,"PR0076427","","",1
"65582","FELEG FOOD MART","FELEG FOOD MART","08/16/2022","Seating 0-12 - Risk Category I","11463 RAINIER AVE S ","SEATTLE","98178","(206) 631-9985",-122.2210327145,47.4993979762,"FELEG FOOD MART","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0069313","DACT3ZV4B","",1
"65585","FERN THAI EATERY & BAR","FERN THAI EATERY & BAR","","Seating 51-150 - Risk Category III","1400 10TH AVE","SEATTLE","98122","(360) 969-6456",-122.31917926,47.61316276,"","",NA,"","","","",0,"PR0084972","","",1
"65602","FERRY NOODLE HOUSE","FERRY NOODLE HOUSE","04/13/2022","Seating 51-150 - Risk Category III","93 MARION ST","SEATTLE","98104","",-122.3358393076,47.6037366416,"FERRY NOODLE HOUSE","Routine Inspection/Field Review",40,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0004190","DAZHKCCBQ","IV50WCRZY",2
"65623","FIASCO","FIASCO","09/30/2022","Seating 151-250 - Risk Category III","3400 STONE WAY N FL 1","SEATTLE","98103","(206) 838-3852",-122.34230353,47.64879163,"FIASCO","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0086326","DAAHDNTQ0","",1
"65636","FIDDLER'S INN","FIDDLER'S INN","10/04/2022","Seating 51-150 - Risk Category III","9219 35TH AVE NE ","Seattle","98115","(206) 525-0752",-122.2908722752,47.6963918753,"FIDDLER'S INN","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","4200 - Food-contact surfaces maintained, clean, sanitized",5,"PR0010629","DAID8YZW9","IVE9SS5IK",1
"65707","FIGUREHEAD BREWING COMPANY LLC","FIGUREHEAD BREWING COMPANY LLC","09/30/2022","Seating 13-50 - Risk Category I","4001 21ST AVE W UNIT B","SEATTLE","98199","(206) 351-4281",-122.38374204,47.65613265,"FIGUREHEAD BREWING COMPANY LLC","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0086094","DA0SEQL6K","IVWARNLTK",1
"65839","FILIPINO COMMUNITY OF SEATTLE","FILIPINO COMMUNITY OF SEATTLE","10/20/2022","Non-Profit Institution - Risk Category III","5740 M L KING JR WAY S ","Seattle","98118","(206) 722-9372",-122.2871591424,47.5500447485,"FILIPINO COMMUNITY OF SEATTLE","Consultation/Education - Field",0,"Complete","false","","",0,"PR0010277","DAODIOY0X","",NA
"65912","FINCA (KC755)","FINCA@425-281-8382","","Mobile Food Unit - Risk Category I","2515 S JACKSON ST","SEATTLE","98144","(425) 281-8382",-122.29918049,47.59913415,"","",NA,"","","","",0,"PR0087726","","",NA
"65913","FINCH & PINE","FINCH & PINE","09/13/2022","Seating 13-50 - Risk Category III","711 BELLEVUE AVE E","SEATTLE","98102","(954) 557-0764",-122.326911,47.625423,"FINCH & PINE","Routine Inspection/Field Review",10,"Unsatisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0082931","DABT1Y5KQ","IVKKS7Z9B",1
"65969","FINN MAC COOLS PUB","FINN MAC COOLS PUB","08/17/2022","Seating 51-150 - Risk Category III","4217 UNIVERSITY WAY NE ","SEATTLE","98105","(206) 650-9535",-122.3135212494,47.6589492788,"FINN MAC COOLS PUB","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0052637","DAXAY8A1G","IVS0MPO0E",2
"66066","FIORE SUNSET HILL","FIORE SUNSET HILL","09/28/2022","Seating 13-50 - Risk Category I","3125 NW 85TH ST ","SEATTLE","98117","(206) 712-2132",-122.3972947274,47.6904053808,"FIORE SUNSET HILL","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0054938","DABVFBQIF","IVQCNZDCY",1
"66070","FIRE TACO AND CANTINA","FIRE TACO AND CANTINA","10/11/2022","Seating 51-150 - Risk Category III","2738 ALKI AVE SW","SEATTLE","98116","(317) 709-1053",-122.4108457225,47.5789186822,"FIRE TACO AND CANTINA","Routine Inspection/Field Review",10,"Satisfactory","false","BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0029475","DA2RDIRST","IVPRZI0C5",1
"66083","FIREFLY","FIREFLY","11/30/2022","Seating 151-250 - Risk Category III","515 WESTLAKE AVE N","SEATTLE","98109","(704) 328-5090",-122.33884831,47.62381816,"FIREFLY","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0084327","DAMUV7WWQ","",1
"66087","FIREHOUSE COFFEE","FIREHOUSE COFFEE","11/01/2022","Seating 13-50 - Risk Category III","2622 NW MARKET ST STE #D","SEATTLE","98107","(206) 496-9210",-122.3913429357,47.6689399852,"FIREHOUSE COFFEE","Routine Inspection/Field Review",5,"Unsatisfactory","false","RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0001140","DA6UW7FCU","IVOYFJACL",1
"66181","FIRST PLACE SCHOOL","FIRST PLACE SCHOOL","05/24/2022","Non-Profit Institution - Risk Category III","172 20TH AVE","SEATTLE","98122","(206) 323-6715",-122.3061067153,47.6030416735,"FIRST PLACE SCHOOL","Consultation/Education - Field",0,"Complete","false","","",0,"PR0066722","DAEWMQVTZ","",NA
"66267","FISH BASKET","FISH BASKET @ ROUTE 206-852-6076","07/23/2022","Mobile Food Unit - Risk Category III","9447 RAINIER AVE S","SEATTLE","98118","(206) 852-6076",-122.26319,47.51984,"FISH BASKET","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0083913","DAWVWXRA5","IVUXN0ZBJ",NA
"66281","FISHERMAN'S RESTAURANT PATIO BAR, THE (KC716)","FISHERMAN'S RESTAURANT PATIO BAR, THE (KC716)","09/12/2019","Limited Food Services - no permanent plumbing","1301 ALASKAN WAY","SEATTLE","98101","(206) 623-8600",-122.34118541,47.6059985,"FISHERMAN'S RESTAURANT PATIO BAR, THE (KC716)","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0087342","DASVZM7FA","",NA
"66284","FISHERMAN'S TERMINAL FOOD MART","FISHERMAN'S TERMINAL FOOD MART","09/30/2022","Seating 0-12 - Risk Category I","2120 W EMERSON PL ","Seattle","98199","(206) 284-2365",-122.3843336548,47.6563213176,"FISHERMAN'S TERMINAL FOOD MART","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0017468","DAKGY4JSY","",1
"66303","FISHERMEN'S GREEN MARKET & DELI","FISHERMAN'S GREEN MARKET & DELI","04/04/2022","Seating 0-12 - Risk Category II","1900 W NICKERSON ST STE 114","Seattle","98119","(206) 281-7818",-122.3811576944,47.6555407997,"FISHERMEN'S GREEN MARKET & DELI","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0026232","DAOHOGK9G","",1
"66324","FIT BAR CAFE","FIT BAR CAFE","10/03/2022","Seating 0-12 - Risk Category II","2222 CALIFORNIA AVE SW","SEATTLE","98116","(206) 225-5956",-122.38599128,47.58324327,"FIT BAR CAFE","Consultation/Education - Field",0,"Complete","false","","",0,"PR0085336","DA6NPP0O3","",1
"66344","FITCHI HOUSE","FITCHI HOUSE","07/06/2022","Seating 0-12 - Risk Category III","405 NE 45TH ST ","SEATTLE","98105","(206) 605-2280",-122.3238012752,47.6611605344,"FITCHI HOUSE","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0044995","DAMXWPHZY","IVGAMMOIE",1
"66358","FIVE GUYS BURGERS & FRIES","FIVE GUYS BURGERS & FRIES","07/08/2022","Seating 51-150 - Risk Category III","1500 NW MARKET ST STE 12","SEATTLE","98107","(801) 859-4448",-122.37675138,47.66892102,"FIVE GUYS BURGERS & FRIES","Routine Inspection/Field Review",7,"Satisfactory","false","BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0084028","DAAVMKR49","IVNCEKS4S",2
"66481","Five Iron Golf Restaurant and Bar","Five Iron Golf Restaurant and Bar","02/25/2022","Seating 0-12 - Risk Category III","1525 11th AVE","Seattle","98122","(609) 439-2777",-122.31847216,47.61477944,"Five Iron Golf Restaurant and Bar","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0090137","DAMTFUB9G","",1
"66482","FIVE POINT CAFE","FIVE POINT CAFE","09/07/2022","Seating 51-150 - Risk Category III","415 CEDAR ST","Seattle","98121","(206) 719-4320",-122.3472170826,47.6181261266,"FIVE POINT CAFE","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0002798","DA8SQLE0G","IVKCXZZ0H",3
"66556","FLAIR TACO","FLAIR TACO @ 166 N 35TH STREET 98103","04/25/2022","Mobile Food Unit - Risk Category III","516 15TH AVE E","SEATTLE","98112","(206) 356-2475",-122.3547738545,47.6520475715,"FLAIR TACO","Consultation/Education - Field",0,"Complete","false","","",0,"PR0077667","DA2BQ01FS","",NA
"66728","FLATSTICK PUB","FLATSTICK PUB","11/10/2022","Seating 51-150 - Risk Category I","220 2ND AVE S #001","SEATTLE","98104","(206) 755-1326",-122.33131422,47.600461,"FLATSTICK PUB","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2600 - Compliance with valid permit; operating and risk control plans and required written procedure",10,"PR0085738","DA0DWFTVB","IVSWOVONF",1
"66729","FLATSTICK PUB","FLATSTICK PUB","08/16/2022","Seating 151-250 - Risk Category III","609 Westlake AVE N","SEATTLE","98109","(206) 755-1326",-122.33891231,47.62508904,"FLATSTICK PUB","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0087650","DALGXNJKQ","IVW1GNTMF",1
"66757","FLAVOR LAO BOWL","FLAVOR LAO BOWL","02/16/2022","Seating 13-50 - Risk Category III","7821 AURORA AVE N","Seattle","98103","(206) 939-7020",-122.3447723419,47.6859856506,"FLAVOR LAO BOWL","Return Inspection",0,"Satisfactory","false","","",0,"PR0012857","DANUR2CNV","",3
"66767","FLIGHT WINES","FLIGHT WINES","03/25/2022","Seating 13-50 - Risk Category II","1300 E PIKE ST STE 103","SEATTLE","98122","(206) 712-6919",-122.31527645,47.61430885,"FLIGHT WINES","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0089437","DAXCOFKZB","",1
"66768","FLINTCREEK CATTLE CO","FLINTCREEK CATTLE CO","11/07/2022","Seating 51-150 - Risk Category III","8421 GREENWOOD AVE N","SEATTLE","98103","(206) 226-2066",-122.35557814,47.69043087,"FLINTCREEK CATTLE CO","Routine Inspection/Field Review",10,"Unsatisfactory","false","BLUE","4200 - Food-contact surfaces maintained, clean, sanitized",5,"PR0086128","DAQJVUPFU","IV0IM2BEM",1
"66910","FLOWERS  RESTAURANT","FLOWERS  RESTAURANT","11/01/2022","Seating 13-50 - Risk Category III","4247 UNIVERSITY WAY NE ","SEATTLE","98105","(206) 633-1903",-122.3135039821,47.659607197,"FLOWERS  RESTAURANT","Routine Inspection/Field Review",20,"Unsatisfactory","false","BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0030542","DAJJMQGIW","IVVTGZBKZ",1
"67068","FLYING APRON, LLC - WEST SEATTLE","FLYING APRON, LLC - WEST SEATTLE","07/20/2022","Seating 13-50 - Risk Category III","4709 CALIFORNIA AVE SW ","SEATTLE","98116","(206) 679-0257",-122.3871618455,47.5607142647,"FLYING APRON, LLC - WEST SEATTLE","Consultation/Education - Field",0,"Complete","false","","",0,"PR0067636","DAWH2FLJ0","",1
"67074","FLYING BIKE COOPERATIVE BREWERY","FLYING BIKE COOPERATIVE BREWERY","11/09/2022","Seating 51-150 - Risk Category I","8570 GREENWOOD AVE N","SEATTLE","98103","",-122.35507214,47.69205614,"FLYING BIKE COOPERATIVE BREWERY","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0084968","DA90XPVFY","",1
"67077","FLYING LION BREWING, LLC","FLYING LION BREWING","02/28/2022","Seating 13-50 - Risk Category I","5101 RAINIER AVE S #106","SEATTLE","98118","(206) 659-9912",-122.28379698,47.55595766,"FLYING LION BREWING, LLC","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0084358","DA0UVXH6K","",1
"67152","FLYING SQUIRREL PIZZA CO.","FLYING SQUIRREL PIZZA CO.","09/14/2022","Seating 51-150 - Risk Category III","5701 AIRPORT WAY S ","SEATTLE","98108","(206) 310-3333",-122.3190353017,47.5512018677,"FLYING SQUIRREL PIZZA CO.","Consultation/Education - Field",0,"Complete","false","","",0,"PR0076441","DALR2DFDQ","",2
"67180","FM122 SUSHI RANGOON","FM122 SUSHI RANGOON","04/12/2022","Seating 0-12 - Risk Category III","100 NW 85TH ST","SEATTLE","98117","(832) 600-7942",-122.35871016,47.69170219,"FM122 SUSHI RANGOON","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0083230","DATZEVG4O","",1
"67182","FM179 SUSHI FAMCI","FM179 SUSHI FAMCI","10/27/2022","Seating 0-12 - Risk Category III","13000 LAKE CITY WAY NE","SEATTLE","98125","(206) 412-1364",-122.29231,47.7237,"FM179 SUSHI FAMCI","Routine Inspection/Field Review",25,"Unsatisfactory","false","RED","1900 - No room temperature storage; proper use of time as a control",25,"PR0088310","DAMU2L0BC","IVO0LKZQ4",2
"67185","FOB POKE BAR","FOB POKE BAR","11/28/2022","Seating 13-50 - Risk Category III","1620 BROADWAY AVE STE 100D","SEATTLE","98122","(206) 227-0888",-122.32041387,47.61592268,"FOB POKE BAR","Routine Inspection/Field Review",78,"Unsatisfactory","false","BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0081107","DAU0NHQMG","IVRJ00ZLS",2
"67192","FOB POKE BAR","FOB POKE BAR","07/12/2022","Seating 13-50 - Risk Category III","220 BLANCHARD ST","SEATTLE","98121","(206) 728-9888",-122.34416062,47.61362557,"FOB POKE BAR","Routine Inspection/Field Review",5,"Unsatisfactory","false","RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0086462","DA0ENKHLG","IVT9FFH7X",1
"67242","FOGON MAC INC.","FOGON MAC INC.","05/31/2022","Seating 51-150 - Risk Category III","600 E PINE ST ","SEATTLE","98122","(206) 380-7649",-122.3240868162,47.6153841286,"FOGON MAC INC.","Consultation/Education - Field",0,"Complete","false","","",0,"PR0068008","DACAR4SVX","",1
"67301","FONDA LA CATRINA","FONDA LA CATRINA","07/14/2022","Seating 51-150 - Risk Category III","5905 AIRPORT WAY S","SEATTLE","98108","(206) 861-5343",-122.31781024,47.5499198,"FONDA LA CATRINA","Consultation/Education - Field",0,"Complete","false","","",0,"PR0081929","DATFXICVV","",1
"67344","FONTE COFFEE","FONTE COFFEE","05/27/2021","Seating 13-50 - Risk Category III","1321 1ST AVE","SEATTLE","98101","(206) 762-0760",-122.3386053811,47.6069687947,"FONTE COFFEE","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0078085","DAXYAQJOM","IVEKJBNGY",1
"67411","FOO LAM CHINESE RESTAURANT","FOO LAM CHINESE RESTAURANT","10/20/2022","Seating 51-150 - Risk Category III","7101 M L KING JR WAY S STE 111","SEATTLE","98118","",-122.2828280188,47.5385404066,"FOO LAM CHINESE RESTAURANT","Consultation/Education - Field",0,"Satisfactory","false","","",0,"PR0047340","DAWZN8PQE","",2
"67420","FOOD JUNCTION","FOOD JUNCTION","11/30/2022","Seating 0-12 - Risk Category III","1165 HARRISON ST","SEATTLE","98109","(516) 667-3156",-122.3338919385,47.6218274039,"FOOD JUNCTION","Consultation/Education - Field",0,"Complete","false","","",0,"PR0067686","DAP0FHIR6","",NA
"67421","FOOD MART","FOOD MART","10/13/2022","Seating 0-12 - Risk Category III","6230 RAINIER AVE S","SEATTLE","98118","(206) 551-5674",-122.27565261,47.54631145,"FOOD MART","Routine Inspection/Field Review",30,"Unsatisfactory","false","RED","1710 - Proper hot holding temperatures (less than130 degrees)",25,"PR0083082","DAAF7SL76","IV5NSJPQG",2
"67429","FOOD PLUS INC","FOOD PLUS INC","08/21/2022","Grocery Store-no seating - Risk Category I","8334 RAINIER AVE S #102","SEATTLE","98118","",-122.26940155,47.52848938,"FOOD PLUS INC","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0087128","DA66D0UDP","IV1XJ1BXE",NA
"67435","FOODCASE, THE","FOODCASE, THE","08/04/2022","Caterer - Risk Category III","4116 RAINIER AVE S","SEATTLE","98118","(206) 939-9800",-122.31241155,47.59943962,"FOODCASE, THE","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0088180","DAUTYXNID","",NA
"67462","FOODZ CATERING","FOODZ CATERING","07/22/2022","Caterer - Risk Category III","921 S HARNEY ST","SEATTLE","98108","(206) 297-9634",-122.32060785,47.54793153,"FOODZ CATERING","Routine Inspection/Field Review",30,"Unsatisfactory","false","RED","2500 - Toxic substances properly identified,...",10,"PR0089287","DAKL7ORLA","IVBSX0FFH",NA
"67470","FOOTPRINT WINE TAP","FOOTPRINT WINE TAP","01/20/2022","Seating 13-50 - Risk Category II","1222 E MADISON ST STE C","SEATTLE","98122","(206) 485-7175",-122.31591281,47.6135072,"FOOTPRINT WINE TAP","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0085549","DARR0PS4D","",1
"67533","Forgotten Realms Escapes","Forgotten Realms Escapes","","Seating 51-150 - Risk Category III","90 Blanchard ST","Seattle","98121","(253) 315-1401",-122.34564325,47.61249966,"","",NA,"","","","",0,"PR0090565","","",NA
"67534","FORT ST GEORGE","FORT ST GEORGE","06/01/2022","Seating 13-50 - Risk Category III","601 S KING ST 20 ","Seattle","98104","(206) 328-0662",-122.3259875443,47.5981911583,"FORT ST GEORGE","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0033218","DAGM4XTZU","",1
"67744","FORTUNE GARDEN RESTAURANT","FORTUNE GARDEN RESTAURANT","09/09/2022","Seating 13-50 - Risk Category III","424 MAYNARD AVE S","SEATTLE","98104","(206) 521-8933",-122.32470166,47.5985841479,"FORTUNE GARDEN RESTAURANT","Return Inspection",0,"Satisfactory","false","","",0,"PR0002321","DAQTUB1HO","",2
"68015","FOU LEE MARKET","FOU LEE MARKET","05/04/2022","Grocery Store-no seating - Risk Category I","2050 S COLUMBIAN WAY","SEATTLE","98108","(206) 354-4866",-122.3052118372,47.5600320223,"FOU LEE MARKET","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0033263","DAYXG028P","IVXFSSDFW",NA
"68022","FOUNDRY EVENTS","FOUNDRY EVENTS","05/19/2022","Caterer - Risk Category I","154 N 35TH ST","SEATTLE","98103","(206) 588-6981",-122.35529876,47.65185693,"FOUNDRY EVENTS","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0084444","DA1Q3HA16","",NA
"68089","FOUR POINTS BY SHERATON","FOUR POINTS BY SHERATON","11/22/2022","Seating 51-150 - Risk Category III","601 ROY ST ","Seattle","98109","(206) 282-2600",-122.344597978,47.6249864174,"FOUR POINTS BY SHERATON","Routine Inspection/Field Review",25,"Unsatisfactory","false","RED","1300 - Food contact surfaces cleaned and sanitized; no cross contamination",15,"PR0055874","DABCLXANI","IV002PRJM",2
"68124","FOUR SEASONS HOTEL SEATTLE","FOUR SEASONS HOTEL SEATTLE - BANQUET ROOM","01/19/2022","Seating > 250 - Risk Category III","99 UNION ST ","SEATTLE","98101","(206) 749-7000",-122.3392206808,47.6076297965,"FOUR SEASONS HOTEL SEATTLE","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0077607","DARBT7JTJ","",1
"68310","FRAN'S CHOCOLATE'S @ U VILLAGE","FRAN'S CHOCOLATE'S @ U VILLAGE","11/15/2021","Seating 0-12 - Risk Category I","2626 NE UNIVERSITY VILLAGE ST ","SEATTLE","98105","(206) 322-0233",-122.2974595724,47.6635570058,"FRAN'S CHOCOLATE'S @ U VILLAGE","Routine Inspection/Field Review",5,"Unsatisfactory","false","RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0052093","DA2YTZ91N","IVUFJFT6Z",1
"68326","FRAN'S CHOCOLATES","FRANS CHOCOLATES","11/18/2022","Seating 0-12 - Risk Category I","1321 1ST AVE ","SEATTLE","98101","(206) 322-0233",-122.3386053811,47.6069687947,"FRAN'S CHOCOLATES","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0077681","DAGAGIP60","",1
"68327","FRAN'S CHOCOLATES","FRAN'S CHOCOLATES","11/03/2022","Seating 13-50 - Risk Category I","5900 AIRPORT WAY S","SEATTLE","98108","(206) 322-0233",-122.31735118,47.54997602,"FRAN'S CHOCOLATES","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0084331","DAYKWVOAB","",1
"68396","FRANK'S OYSTER HOUSE","FRANK'S OYSTER HOUSE & CHAMPAGNE PARLOR","02/16/2022","Seating 13-50 - Risk Category III","2614 NE 55TH ST ","SEATTLE","98105","(206) 214-6518",-122.2988698195,47.6687062543,"FRANK'S OYSTER HOUSE","Return Inspection",0,"Satisfactory","false","","",0,"PR0032227","DA00ZQJSG","",1
"68459","FRANKFURTER , THE","FRANKFURTER , THE","07/20/2022","Seating 0-12 - Risk Category III","1023 ALASKAN WAY","Seattle","98104","(206) 763-9669",-122.3393580617,47.6042924247,"FRANKFURTER , THE","Routine Inspection/Field Review",5,"Unsatisfactory","false","RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0002822","DAN7WQMPL","IV0P0EZI4",1
"68518","FRANKIE & JO'S","FRANKIE & JO'S","02/14/2022","Seating 0-12 - Risk Category II","1010 E UNION ST","SEATTLE","98122","(206) 650-6409",-122.319128,47.613109,"FRANKIE & JO'S","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0086331","DAYTA6LWS","IV0K0RLSA",1
"68519","FRANKIE & JO'S","FRANKIE & JO'S","01/13/2022","Seating 0-12 - Risk Category II","1411 NW 70TH ST","SEATTLE","98117","(206) 650-6409",-122.37466,47.67938,"FRANKIE & JO'S","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0087311","DAINB7KVL","",1
"68520","FRANKIE & JO'S","FRANKIE & JO'S","01/13/2022","Seating 0-12 - Risk Category II","4619 VILLAGE TER NE","SEATTLE","98105","(310) 991-9448",-122.29866618,47.66211756,"FRANKIE & JO'S","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0089063","DA0ZUB1VG","IVFR2YINF",1
"68691","FRANKLIN HIGH SCHOOL","FRANKLIN","10/03/2022","School Lunch Program - Risk II","3013 S MT BAKER BL ","Seattle","98144","",-122.2938130483,47.5758079776,"FRANKLIN HIGH SCHOOL","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0042796","DA28XTDR9","IVAL44ZYO",NA
"68735","FRANZ FAMILY BAKERY","FRANZ FAMILY BAKERY","08/22/2022","Grocery Store-no seating - Risk Category I","2006 S WELLER ST ","SEATTLE","98144","",-122.3055468097,47.5981082171,"FRANZ FAMILY BAKERY","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","2900 - Adequate equipment for temperature control",5,"PR0002849","DAYAURBGM","IVHASRTCT",NA
"68753","FRATERNAL ORDER OF EAGLES","FRATERNAL ORDER OF EAGLES","07/06/2022","Seating 51-150 - Risk Category III","8201 LAKE CITY WAY NE","SEATTLE","98115","(206) 762-5125",-122.31082305,47.68877498,"FRATERNAL ORDER OF EAGLES","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0082412","DAXQQ80XK","IV0A0UWTH",1
"68825","FRED HUTCHINSON - BON APPETIT","DOUBLE HELIX ESPRESSO @ FHCRC","06/13/2022","Non-Profit Institution - Risk Category I","1100 FAIRVIEW AVE N ","SEATTLE","98109","",-122.3299758288,47.628525193,"FRED HUTCHINSON - BON APPETIT","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0032372","DAMRJSGXT","",NA
"69204","FRED MEYER #608","FRED MEYER #608","11/07/2022","Meat/Sea Food - Risk Category III","915 NW 45TH ST","SEATTLE","98107","(206) 297-4300",-122.368817,47.660214,"FRED MEYER #608","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0053848","DA7HBJ6D3","",NA
